u00001 connect
u00001 send {"type":"join","uname":"u00001","pass1":"u00001","pass2":"u00001"}
u00001 recv {"type":"join","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"},"peers":[{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"invite"},{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"}],"rooms":[]}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"invite"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7792856,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6968586,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7975148,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"invite"},"action":"cancel"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"delete"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"verify"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6528447,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5473429,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":1133997,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"}}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[]}
u00001 send {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"invite"},"action":"cancel"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"delete"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7750948,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline","state":"verify"}}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":194517,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"verify"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":969184,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"verify"},"action":"reject"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4033125,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"delete"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2493447,"roomType":"public"}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[{"id":"u15068712456909919748473792","uname":"u00002","status":"away"}]}
u00001 send {"type":"user","action":"invite","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"invite"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7859128,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":962306,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online","state":"verify"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2392466,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712456909919748473792u15068712458829919939838168"},"_id":"5a66ce2de7d6ec0a7c19b445","user":{"id":"u15068712456909919748473792"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3395707,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3280481,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6825107,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2960270,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online","state":"delete"}}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away"}}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"}}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712456909919748473792u15068712458829919939838168"},"_id":"5a66ce32e7d6ec0a7c19b45d","user":{"id":"u15068712456909919748473792"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":2781880,"roomType":"public"}
u00001 send {"type":"find","text":"u"}
u00001 recv {"type":"find","list":[{"id":"u15068712466809920738075994","uname":"u00000","status":"away"}]}
u00001 send {"type":"user","action":"invite","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"}}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"invite"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8111063,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":985004,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"reject"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":5052701,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":8354968,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4783225,"roomType":"public"}
u00001 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"},"action":"update"}
u00001 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":6595146,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":7117541,"roomType":"public"}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":3156258,"roomType":"public"}
u00001 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away","state":"verify"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4675405,"roomType":"public"}
u00001 recv {"type":"chat","chat":{"id":"u15068712458829919939838168","text":"u15068712456909919748473792u15068712458829919939838168"},"_id":"5a66ce36e7d6ec0a7c19b478","user":{"id":"u15068712456909919748473792"}}
u00001 send {"type":"room","action":"create","creator":"u15068712458829919939838168","roomName":4585611,"roomType":"public"}
