u00000 connect
u00000 send {"type":"join","uname":"u00000","pass1":"u00000","pass2":"u00000"}
u00000 recv {"type":"join","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"},"peers":[{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"},{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"verify"}],"rooms":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9829836,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6278568,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"verify"}}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"delete"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}]}
u00000 send {"type":"user","action":"invite","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online"}}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":2955047,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":7869107,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9059593,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712456909919748473792u15068712466809920738075994"},"_id":"5a66ce20e7d6ec0a7c19b419","user":{"id":"u15068712456909919748473792"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4966947,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5553838,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"offline"}}
u00000 send {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"}}
u00000 recv {"type":"chat","chat":{"id":"u15068712456909919748473792","text":"u15068712466809920738075994u15068712456909919748473792"},"_id":"5a66ce24e7d6ec0a7c19b425","user":{"id":"u15068712466809920738075994"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9162404,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"offline","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1548779,"roomType":"public"}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5389724,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712456909919748473792u15068712466809920738075994"},"_id":"5a66ce28e7d6ec0a7c19b431","user":{"id":"u15068712456909919748473792"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4648416,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":899233,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"online"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8294210,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5179650,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"invite"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":95561,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712456909919748473792u15068712466809920738075994"},"_id":"5a66ce2ee7d6ec0a7c19b44c","user":{"id":"u15068712456909919748473792"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9703282,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9153703,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"invite"},"action":"cancel"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"online","state":"delete"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1734561,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"online","state":"accept"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":8601627,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"},"action":"update"}
u00000 recv {"type":"user","user":{"id":"u15068712466809920738075994","uname":"u00000","status":"away"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":1861841,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":9520027,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"verify"}}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"away","state":"accept"}}
u00000 send {"type":"find","text":"u"}
u00000 recv {"type":"find","list":[]}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4872572,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":4699884,"roomType":"public"}
u00000 send {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"verify"},"action":"reject"}
u00000 recv {"type":"user","user":{"id":"u15068712458829919939838168","uname":"u00001","status":"away","state":"delete"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":5487615,"roomType":"public"}
u00000 recv {"type":"chat","chat":{"id":"u15068712466809920738075994","text":"u15068712456909919748473792u15068712466809920738075994"},"_id":"5a66ce34e7d6ec0a7c19b46b","user":{"id":"u15068712456909919748473792"}}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":3997525,"roomType":"public"}
u00000 send {"type":"room","action":"create","creator":"u15068712466809920738075994","roomName":6215581,"roomType":"public"}
u00000 recv {"type":"user","user":{"id":"u15068712456909919748473792","uname":"u00002","status":"offline","state":"accept"}}
u00000 send {"type":"find","text":"u"}
